,Номенклатура,ДатаПонедельника,МесяцГод,КоличествоОборот,СуммаВыручкиБезНДСОборот,Себестоимость,Месяц,"Высота профиля, %","Высота шины, мм",Индекс нагрузки,Комплектность,Максимальная нагрузка,Наружный диаметр шины,Норма слойности,"Посадочный диаметр, дюйм",Предполагаемый контрагент,Сезон,Ширина профиля,Страна происхождения,Сезонная группа,ОстаткиПередНеделей,ОстаткиПослеНедели,Прогноз
110,49775,2019-02-04,"[2, 2019]",13.0,3691.4800000000005,"['2481.95', '256.86', '513.17']",2.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
111,49775,2019-02-11,"[2, 2019]",3.0,868.7,"['512.53', '256.3']",2.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
112,49775,2019-02-18,"[2, 2019]",10.0,2966.38,"['1026.89', '510.8', '1034.73']",2.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
113,49775,2019-02-25,"[2.571428571428571, 2019]",4.0,1247.08,['1026.34'],2.571428571428571,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
114,49775,2019-03-04,"[3, 2019]",9.0,2564.3,"['1199.31', '1025.06']",3.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
115,49775,2019-03-11,"[3, 2019]",12.0,3641.76,"['2094.44', '523.93', '523.93']",3.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
116,49775,2019-03-18,"[3, 2019]",5.0,1460.49,"['523.93', '256.3', '522.64']",3.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
117,49775,2019-03-25,"[3.142857142857143, 2019]",32.0,10105.4,"['511.16', '1571.8', '1569.87', '1045.29', '1567.93', '952.65', '1047.87']",3.142857142857143,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
118,49775,2019-04-01,"[4, 2019]",8.0,2356.3599999999997,"['513.73', '523.93', '1028.78']",4.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
119,49775,2019-04-08,"[4, 2019]",21.0,6574.82,"['1046.75', '519.37', '1570.67', '522.64', '522.64', '1045.29', '256.86']",4.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
120,49775,2019-04-15,"[4, 2019]",18.0,5396.0,"['2065.08', '2616.5']",4.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
121,49775,2019-04-22,"[4, 2019]",8.0,2295.0,"['521.51', '521.51', '523.37', '521.51']",4.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
122,49775,2019-04-29,"[4.857142857142857, 2019]",18.0,5920.5599999999995,"['523.37', '782.27', '782.27', '2089.04', '511.16']",4.857142857142857,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
123,49775,2019-05-06,"[5, 2019]",0.0,0.0,[],5.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
124,49775,2019-05-13,"[5, 2019]",4.0,1236.6599999999999,"['536.35', '536.35']",5.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
